"Scenario_1","Scenario_2","Scenario_3","Scenario_4","Scenario_5","Scenario_6","Scenario_7","Scenario_8","Scenario_9","Scenario_10","Date"
275.136402933195,459.377805936949,433.679913284732,-126.156840200521,160.236736268183,-75.6306449800705,189.351912385315,267.642818316006,237.881546467898,147.846322017789,2024-10-17 08:00:00
259.680554079432,445.410538445648,419.757948495786,-150.198892366431,141.166794067159,-105.626527822785,174.323163593169,251.440020273513,223.235511438018,129.616811756104,2024-10-17 09:00:00
249.227770785663,444.047812332645,415.241073171729,-160.230036436748,121.7319246294,-117.768759402752,154.321983384545,239.266504908456,219.171094472799,121.429547922028,2024-10-17 10:00:00
250.257173657749,443.639434568618,414.190513640251,-175.079956066718,117.228270165769,-132.871271860256,140.086717376291,234.734879438054,217.560723767121,115.636803939098,2024-10-17 11:00:00
242.240995640462,441.576913584751,405.398028022029,-173.447815645334,116.356259239944,-130.099510769236,142.930954002715,230.209423758917,203.785033312367,115.663507683505,2024-10-17 12:00:00
245.747620487376,439.936681889718,410.967279549485,-179.487366368423,113.942187623257,-125.493201303185,139.86301652303,231.000964239785,198.621629303147,114.295788803196,2024-10-17 13:00:00
240.183415191077,445.199310082685,412.979134437968,-176.665255981021,101.43560629946,-129.866846046722,139.804855090583,223.333552292275,208.046470144241,119.301816990324,2024-10-17 14:00:00
234.733017294732,437.973159056011,408.952035350574,-178.702228337691,97.3313251888537,-119.533708218704,131.906003233293,226.583429038405,211.521284210739,122.499476248418,2024-10-17 15:00:00
233.283426427013,436.455567739742,413.711218758902,-182.620739711145,86.2584148649327,-118.890246678859,131.142162175247,241.469304295633,223.561163849445,115.600471046192,2024-10-17 16:00:00
231.957967147532,435.502045811477,415.833938328647,-174.373141504101,79.9564486960324,-105.381662085181,139.573206205707,246.837058046201,230.895119310361,129.91620122877,2024-10-17 17:00:00
238.970356151511,447.711058331493,422.780364057704,-158.730537766268,92.3934403643648,-81.0145746888557,145.812640456051,259.761943027818,227.657960057196,136.279961596213,2024-10-17 18:00:00
254.449243509097,458.502936845607,439.120015778852,-129.994961207432,110.803202683095,-64.7242853243735,165.57707154597,281.526463102763,247.102128259104,167.491924014994,2024-10-17 19:00:00
273.948231237981,467.578296136327,453.046679377387,-110.114863949251,124.969609816923,-55.6841923900303,177.742897984109,290.095799430595,264.749714677694,186.412384499567,2024-10-17 20:00:00
270.753553646082,481.291179135095,453.592341875324,-100.007782645237,136.071629857258,-31.8125086163923,185.119276530896,289.961758105578,257.589119830997,190.459618567374,2024-10-17 21:00:00
252.745496266139,471.708835603689,437.721448236219,-125.564577922069,130.395836969875,-64.279121918478,175.412425294197,291.310986861605,244.363624665464,171.441505641201,2024-10-17 22:00:00
250.115145460077,466.153070499019,431.779157867719,-122.292568351068,144.080219140543,-74.4556175885319,161.900266356907,281.631018252783,239.895085157568,171.270826981562,2024-10-17 23:00:00
244.021724476017,464.953437995593,431.021394625125,-126.379890059353,137.973861449215,-80.594572311029,164.339591301222,285.395629923764,231.739515515362,178.320352671344,2024-10-18 00:00:00
242.538383002827,459.11768262048,426.535318859555,-125.373041475341,131.562623232501,-84.5441761544669,170.883676633341,287.654158451836,228.452561034983,170.847443049781,2024-10-18 01:00:00
244.602430931352,459.938058865135,416.254420348405,-121.976502156933,128.517300645,-74.0568595804459,167.120279949444,283.686270037412,223.364780756316,173.834350686917,2024-10-18 02:00:00
244.149590279769,460.052733899932,423.074092859991,-112.53942725049,117.791409952507,-64.6320456271886,162.513588719949,285.324629587764,214.980202876646,166.125184469051,2024-10-18 03:00:00
247.629325329705,461.045065754955,433.74977446339,-120.814193041688,107.970716495292,-81.1325905948168,164.930111609856,281.894204612214,208.395080051614,164.786419252151,2024-10-18 04:00:00
