"Scenario_1","Scenario_2","Scenario_3","Scenario_4","Scenario_5","Scenario_6","Scenario_7","Scenario_8","Scenario_9","Scenario_10","Scenario_11","Scenario_12","Scenario_13","Scenario_14","Scenario_15","Scenario_16","Scenario_17","Scenario_18","Scenario_19","Scenario_20","Date"
323.440861144754,524.414089527817,594.918681133439,-254.998960520039,143.407787201705,-251.654619898591,-28.1027750570027,327.150160859211,134.468190174852,85.1586308100672,484.584958576709,244.144484566011,149.531571094455,-228.925354567803,442.573666297758,429.473424069421,-178.766274239616,-596.90842195358,415.896413436651,340.408835848737,2024-10-26 15:00:00
319.58557418331,526.58176205054,599.004930715958,-248.395387125518,144.173468514456,-258.107672273176,12.4227047365714,334.149641945047,147.83924528393,88.9212719177267,484.019324611302,244.059443422965,150.318191380605,-228.64001191416,439.778816028243,430.442191690543,-167.532559309852,-594.574962253407,415.895882974271,338.744092019603,2024-10-26 16:00:00
319.723153657833,524.678731165952,606.035172647648,-242.933806465482,146.986226200551,-259.834287737479,51.3321144468428,339.878165626357,162.010400110944,88.9107015554376,492.107033751175,247.428392604307,157.828638950508,-226.913881968184,447.556467436787,429.75098258153,-163.421979326164,-591.979206274535,409.97513969922,341.434779523146,2024-10-26 17:00:00
324.436962130356,530.710342434725,610.361927073046,-230.637402538993,150.220027211429,-250.998230577331,88.4862229869623,352.390573521818,178.699656451298,105.41424631486,499.706837535353,253.238824146722,172.36188604758,-228.481490837495,453.368910874345,433.956780759119,-151.809627814525,-588.628165198779,415.747134385861,348.751337882051,2024-10-26 18:00:00
344.091643204781,541.293100695959,623.103863108167,-215.173149253854,180.48143691678,-231.174133200507,115.73465820156,357.593453304224,201.060366621818,137.043447147233,516.058359554228,270.794397125694,184.053454708645,-208.885787892662,469.401699854755,444.924140773413,-132.14250805679,-583.406577785417,429.005500060489,366.840098462588,2024-10-26 19:00:00
355.649047510363,548.84731467613,636.936522838586,-201.647519552748,206.987954870677,-225.176660688108,132.111427751693,372.750040003454,224.009140147466,163.573193941117,525.629629590002,284.057393926634,198.197312447177,-200.255726470643,485.357161985665,459.801599097065,-118.85554361018,-573.239610082679,440.209245604657,383.738090035037,2024-10-26 20:00:00
356.790359529857,557.312885817063,637.923642387627,-197.230878792914,198.676502150402,-221.759587614567,140.637671577859,373.456789097138,218.658348192964,156.225822847663,524.623029543843,280.404359882447,197.747558660168,-200.353243175,480.316582867557,467.114815719426,-85.3160429242485,-569.021550724037,443.299561963615,390.339460655276,2024-10-26 21:00:00
349.240543221315,547.271617768105,631.254595604147,-208.554732031574,176.465763377291,-237.178819177765,105.398360187232,374.303799593275,195.673558093245,125.857157494392,511.676156595279,263.772789551666,184.0497759379,-219.348726769262,467.775799046298,455.773032071438,-117.858786036277,-576.784299850255,433.927698924931,380.733003763735,2024-10-26 22:00:00
346.770416514199,542.018468570013,630.96064553226,-216.1379398369,174.842158362147,-242.915164570648,101.561909468382,375.732727071939,176.99513917143,116.148111300999,507.260862295507,265.937259330067,173.067872494807,-226.046125155355,469.032760140083,456.290732045661,-133.035562761432,-578.649550574958,436.595169931029,371.574331772501,2024-10-26 23:00:00
341.871164161247,535.774697559662,628.784772076392,-222.484911474636,163.049394221375,-242.991382864277,92.6217406745641,378.491831408123,169.9331360094,123.472127402866,509.443633369082,266.749867915027,167.594808887884,-235.28068668649,471.857449583955,448.915684870798,-138.127246950617,-581.551710703885,433.867755577402,373.00699591922,2024-10-27 00:00:00
342.2415200317,530.335640946125,627.731794855576,-211.660698533491,158.91561056227,-253.712309400798,91.663879231526,379.268339051003,165.826999578454,120.349582340872,507.771929606909,269.527543320833,170.135331782194,-234.755496289774,464.329542527074,452.33774359218,-146.684212159495,-582.080421925398,435.939285156948,375.005377858357,2024-10-27 01:00:00
343.301236165027,528.13078155773,624.167498773214,-208.057250673224,166.726038493199,-254.644705335984,86.9347752673793,381.457086015411,156.863998048418,120.804644171478,510.918608808237,268.653741264232,168.997951650381,-244.79028235299,470.463277182263,448.026032891613,-149.649219824354,-582.780082151253,440.157626140931,368.733188047696,2024-10-27 02:00:00
334.343859192815,532.469276759675,626.870365175797,-209.090499691315,165.214205385715,-258.629553807164,58.3967735459894,384.452365916477,151.679230187164,109.107802575607,511.83686976472,258.076261424026,160.209634037765,-249.276323087938,466.950520909434,447.264757607798,-156.904691087178,-584.966812440517,442.25089293046,372.94408783002,2024-10-27 03:00:00
330.196082869461,530.662913837972,625.360069721237,-208.481138316038,150.060534142859,-254.210224246377,60.3352659680242,375.274156518195,152.123175683888,108.00078456741,509.260126329183,262.85719842983,155.28967084098,-243.543127739494,463.681198138439,440.534591508811,-165.497991973549,-584.684763730714,446.126841618247,370.131107100968,2024-10-27 04:00:00
